[INFO 2018-09-24 23:41:47,142 tanks 25581 140037993531136] Initialization coffee beans tank
[INFO 2018-09-24 23:41:47,142 tank 25581 140037993531136] Coffee beans tank is refill
[INFO 2018-09-24 23:41:47,142 tanks 25581 140037993531136] Initialization coffee beans tank
[INFO 2018-09-24 23:42:01,038 coffee_machine 25581 140037993531136] Starting making ESPRESSO
[INFO 2018-09-25 00:10:01,477 tank 27016 140711804679936] Water tank is refill
[INFO 2018-09-25 00:10:01,478 tanks 27016 140711804679936] Initialization coffee beans tank
[INFO 2018-09-25 00:10:01,478 tank 27016 140711804679936] Coffee beans tank is refill
[INFO 2018-09-25 00:10:01,478 tanks 27016 140711804679936] Initialization coffee beans tank
[INFO 2018-09-25 00:11:16,064 tank 27139 139725414700800] Water tank is refill
[INFO 2018-09-25 00:11:16,065 tanks 27139 139725414700800] Initialization coffee beans tank
[INFO 2018-09-25 00:11:16,065 tank 27139 139725414700800] Coffee beans tank is refill
[INFO 2018-09-25 00:11:16,065 tanks 27139 139725414700800] Initialization coffee beans tank
[INFO 2018-09-25 00:12:18,680 tank 27270 139665253119744] Water tank is refill
[INFO 2018-09-25 00:12:18,681 tanks 27270 139665253119744] Initialization coffee beans tank
[INFO 2018-09-25 00:12:18,682 tank 27270 139665253119744] Coffee beans tank is refill
[INFO 2018-09-25 00:12:18,682 tanks 27270 139665253119744] Initialization coffee beans tank
[INFO 2018-09-25 00:12:30,569 coffee_machine 27270 139665253119744] Starting making AMERICANO
[INFO 2018-09-25 00:13:55,211 tank 27322 140454232299264] Water tank is refill
[INFO 2018-09-25 00:13:55,211 tanks 27322 140454232299264] Initialization coffee beans tank
[INFO 2018-09-25 00:13:55,212 tank 27322 140454232299264] Coffee beans tank is refill
[INFO 2018-09-25 00:13:55,212 tanks 27322 140454232299264] Initialization coffee beans tank
[INFO 2018-09-25 00:13:57,018 coffee_machine 27322 140454232299264] Starting making DOPPIO
[INFO 2018-09-25 00:14:13,523 tank 27340 140112402462464] Water tank is refill
[INFO 2018-09-25 00:14:13,524 tanks 27340 140112402462464] Initialization coffee beans tank
[INFO 2018-09-25 00:14:13,525 tank 27340 140112402462464] Coffee beans tank is refill
[INFO 2018-09-25 00:14:13,526 tanks 27340 140112402462464] Initialization coffee beans tank
[INFO 2018-09-25 00:14:15,985 coffee_machine 27340 140112402462464] Starting making CAPPUCCINO
[INFO 2018-09-25 00:14:40,571 tank 27358 139798231492352] Water tank is refill
[INFO 2018-09-25 00:14:40,571 tanks 27358 139798231492352] Initialization coffee beans tank
[INFO 2018-09-25 00:14:40,572 tank 27358 139798231492352] Coffee beans tank is refill
[INFO 2018-09-25 00:14:40,572 tanks 27358 139798231492352] Initialization coffee beans tank
[INFO 2018-09-25 00:14:40,574 coffee_machine 27358 139798231492352] Starting making DOPPIO
[INFO 2018-09-25 00:23:47,110 tank 27684 139906368112384] Coffee beans tank is refill
[INFO 2018-09-25 00:23:47,111 tanks 27684 139906368112384] Initialization coffee beans tank
[INFO 2018-09-25 00:23:47,112 tank 27684 139906368112384] Water tank is refill
[INFO 2018-09-25 00:23:47,112 tanks 27684 139906368112384] Initialization coffee beans tank
[INFO 2018-09-25 00:23:47,115 coffee_machine 27684 139906368112384] Starting making DOPPIO
[INFO 2018-09-25 00:24:26,410 tank 27710 139711300155136] Coffee beans tank is refill
[INFO 2018-09-25 00:24:26,411 tanks 27710 139711300155136] Initialization coffee beans tank
[INFO 2018-09-25 00:24:26,412 tank 27710 139711300155136] Water tank is refill
[INFO 2018-09-25 00:24:26,413 tanks 27710 139711300155136] Initialization coffee beans tank
[INFO 2018-09-25 00:24:26,416 coffee_machine 27710 139711300155136] Starting making AMERICANO
[INFO 2018-09-25 00:25:19,010 tank 27736 140286782453504] Coffee beans tank is refill
[INFO 2018-09-25 00:25:19,012 tanks 27736 140286782453504] Initialization coffee beans tank
[INFO 2018-09-25 00:25:19,012 tank 27736 140286782453504] Water tank is refill
